id,copas,gofres,bebidas,crepes,diaSemana,observacion,helados
65OAmbxMrQJ4yKXyRVdI,[],[],"[{'inicio': '14:19:31,257', 'fin': '14:23:07,305'},{'inicio': '14:23:07,305', 'fin': '14:27:05,105'}]",[],domingo,!Dos malteadas ,[]
6729RreiBrGnKKgMWmvm,"[{'inicio': '14:28:02,828', 'fin': '14:29:45,178'}]",[],[],[],viernes,,[]
697PwHrm91ldakiWwIcN,"[{'inicio': '12:22:16,503', 'fin': '12:22:34,797'}]",[],[],[],sábado,,[]
6NpVzCf8K4kKy9TurIyi,[],[],[],[],domingo,,"[{'inicio': '13:29:32,163', 'fin': '13:29:44,176'}]"
6OBYMxOp8DX7xc4dw2LO,[],[],[],[],domingo,,"[{'inicio': '15:05:17,270', 'fin': '15:05:56,247'}]"
6OWtxbGoZxHtW4531Lkm,[],[],[],[],domingo,,"[{'inicio': '14:19:43,565', 'fin': '14:19:56,932'}]"
6PxgzNJQT5Il21om9XdN,[],[],[],[],domingo,,"[{'inicio': '13:03:53,919', 'fin': '13:04:12,851'}]"
6QPqFkecYoADe1oWE1cj,[],[],[],[],domingo,,"[{'inicio': '15:09:25,663', 'fin': '15:09:34,668'}, {'inicio': '15:09:35,159', 'fin': '15:09:45,049'}]"
6QcVmhZSt7pDqso3lVEx,[],[],[],[],viernes,,"[{'inicio': '13:34:09,034', 'fin': '13:34:32,148'}]"
6RHObKb0oqXfsqIQfp5L,"[{'inicio': '13:53:42,603', 'fin': '13:53:47,270'},{'inicio': '13:53:47,270', 'fin': '13:56:27,290'}]",[],[],[],domingo,!Si dos copas ,[]
6RPcct2bfMFpsT8aPcPl,[],[],[],[],domingo,,"[{'inicio': '13:36:44,090', 'fin': '13:37:03,939'}, {'inicio': '13:37:19,936', 'fin': '13:37:48,379'}]"
6XOvBAq5k6nGsmVVU7qw,[],[],[],[],domingo,Artesano,"[{'inicio': '14:57:19,335', 'fin': '14:58:26,091'}]"
6Xxcttkzj8jz3AopD9hP,[],[],"[{'inicio': '12:20:31,215', 'fin': '12:23:10,458'}]",[],domingo,,[]
