id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
S1Irs59Tglkyx3qrLQO0,sábado,"12:48:17,389","12:48:20,658","12:48:26,027","12:48:53,597",efectivo,
VdXCNlYOZxFdxFuuieWG,sábado,"12:39:20,299","12:40:23,079","12:41:09,222","12:41:39,594",efectivo,
SGAjJX1clcj2totrtQvk,sábado,"13:47:02,103","13:48:01,653","13:48:15,370","13:48:17,490",efectivo,
hL90Cg70YgxMjEYJtxvW,sábado,"13:42:21,004","13:43:50,523","13:44:09,697","13:44:23,741",Tarjeta,
bjIBxAD3gZadOogT0v5k,sábado,"13:34:11,994","13:38:28,021","13:38:40,650","13:38:54,179",efectivo,
ggcM7zeNPwRK1emfRJHw,sábado,"12:13:10,043","12:13:29,007","12:13:31,529","12:13:38,648",efectivo,
bNWjliF7xwCKBBdtayHp,sábado,"14:45:04,287","14:45:23,462","14:46:01,668","14:46:19,439",Tarjeta,
hD7AsYXtnPm1S8HrbfMt,sábado,"13:27:45,228","13:28:54,042","13:29:17,750","13:29:30,957",Tarjeta,
b9CXiWdyrITRR2FPKB0k,sábado,"13:40:40,830","13:41:31,152","13:41:43,212","13:41:49,398",Tarjeta,
b1aykMsnhtzC9jXQSaKd,sábado,"14:36:33,310","14:37:09,180","14:37:27,140","14:37:34,259",efectivo,
ak85UTfqz13W15PXr8ef,sábado,"13:20:13,749","13:20:59,594","13:21:12,555","13:21:38,695",efectivo,
gfe0Zydz3k3TJIH9382Q,sábado,"12:50:37,443","12:57:16,236","12:58:08,012","12:59:03,927",efectivo,
ajJ958Q3VnqIpuuuu83o,sábado,"14:06:51,040","14:07:02,359","14:07:24,856","14:08:11,516",efectivo,
aeqF9aFIQXuMmOEVYwKC,sábado,"12:48:36,916","12:49:09,595","12:49:35,679","12:51:32,492",Tarjeta,
hTTCti77dnkEszuSNTHe,sábado,"13:21:03,791","13:21:31,163","13:21:46,777","13:22:03,120",efectivo,
aCtOaw0CGtQlFkmwu1DY,sábado,"12:13:35,511","12:13:44,867","12:13:52,578","12:14:22,512",Tarjeta,
Zi6LRaprm7Zb26i1S3aa,sábado,"13:56:45,015","13:56:53,956","13:57:04,898","13:57:31,433",efectivo,
blzEXg39cSaSLjGgC6s6,sábado,"14:22:41,937","14:22:59,369","14:23:11,460","14:24:09,704",efectivo,
byX6dTUSCBZqTsbICr31,sábado,"12:59:00,631","13:02:58,844","13:03:35,215","13:06:09,040",Tarjeta,Se acabó el papel del datáfono 
l0twmRubOXi01LRDhaEP,sábado,"13:03:06,464","13:08:38,623","13:09:22,725","13:09:33,318",Tarjeta,"El niño ya había pedido un helado pero no le gustó, entonces lo botó y pidió de nuevo :("
fmDmbJJSd0daumO1XpYP,sábado,"12:29:36,550","12:32:21,493","12:33:01,573","12:33:24,843",efectivo,
fBxtODZlFdxECH1TfGTo,sábado,"12:04:12,498","12:05:29,036","12:05:34,853","12:05:40,458",efectivo,
ea1BBiqXiY8XyTenY8Pi,sábado,"13:32:43,510","13:35:56,538","13:36:10,382","13:36:42,102",efectivo,
eT8anTWunJlfoHiKV2Zk,sábado,"14:44:02,344","14:44:09,569","14:44:14,172","14:44:35,065",efectivo,
e12O8kdmWoIHXtzYRtiM,sábado,"13:11:03,841","13:11:13,204","13:12:49,485","13:13:32,149",Tarjeta,
duReiJd2JLXDP229xK1d,sábado,"14:28:04,460","14:29:09,577","14:29:24,342","14:29:33,999",efectivo,
daSojTAdNUJG05IgmjRd,sábado,"14:41:18,967","14:41:35,240","14:41:49,640","14:42:17,935",efectivo,
d8RSMOXt1qcYUhlRgA3Y,sábado,"15:00:11,356","15:05:51,663","15:05:58,049","15:06:21,517",efectivo,
