,id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
214,Jx8oKvzWVJhbiGhE5xva,sábado,14:17:19.247000,"14:17:58,759","14:18:15,295","14:18:59,442",Tarjeta,
524,pkhuJ3qXcAJrbvxNIlSj,sábado,13:26:26.487000,"13:27:52,000","13:28:12,831","13:28:49,957",Tarjeta,
218,KbmGE7TAkpY2aMisNzPk,sábado,14:09:42.415000,"14:10:22,463","14:10:39,799","14:10:50,188",bono,
221,KoISZs4iQgo1lWYr8mrG,sábado,12:11:45.263000,"12:12:32,075","12:12:40,577","12:12:53,167",Tarjeta,
222,KpWz6FzF3useQwJT4hRR,sábado,14:20:07.215000,"14:22:07,430","14:22:17,337","14:22:54,914",efectivo,
519,otKDvdBgZ6GEMbBCvxcJ,sábado,12:49:33.477000,"12:53:42,055","12:53:55,556","12:54:03,954",efectivo,
227,LHNU8IK31uxqtuL8ejMj,sábado,14:32:54.308000,"14:34:27,812","14:34:35,454","14:35:07,974",efectivo,
230,LhtYow2cRWgaPsbRw4Ox,sábado,13:51:10.183000,"13:51:12,951","13:51:15,791","13:51:48,141",efectivo,
513,oYrdIaZadtCXhu0Nt5fk,sábado,11:55:28.296000,"11:55:51,475","11:56:05,447","11:56:24,983",Tarjeta,
233,LyC08T6NdvMCSJb5o4R3,sábado,13:07:54.435000,"13:10:56,753","13:11:46,527","13:12:38,678",Tarjeta,Se volvió a trabar el datáfono 
235,M2GGJ71rn15nHYpUrDzU,sábado,13:25:24.927000,"13:25:26,360","13:26:48,383","13:26:58,241",Tarjeta,Cambiaron su pedido como 3 veces
236,MGLzGzAY3g8Rb7avvOf3,sábado,12:43:49.360000,"12:44:29,436","12:45:06,712","12:45:08,033",Tarjeta,Se quedaron viendo la carta antes de pedir 
237,MV2t6QXvO7mA0E1G7ln9,sábado,13:38:37.165000,"13:42:16,886","13:42:46,677","13:43:11,543",efectivo,
240,MgOpYuUU7vTklAGS0asc,sábado,12:50:04.885000,"12:55:45,020","12:55:52,633","12:57:01,560",bono,
510,no6ZxdzgbP7xQQPvpRvQ,sábado,13:28:10.247000,"13:30:52,257","13:31:12,889","13:31:47,145",Tarjeta,
242,N2U9sPShPayCClCyCCzp,sábado,13:01:44.633000,"13:06:16,945","13:07:02,206","13:07:05,509",Tarjeta,
243,N3kZPp5slRE3HFnXRRsA,sábado,13:52:02.416000,"13:59:50,457","14:00:08,103","14:00:24,446",efectivo,
289,S1ksT6odOL26qxHO3a1j,sábado,14:28:57.971000,"14:29:59,757","14:30:04,787","14:30:08,171",efectivo,
245,N7xNYQKHiCkpc0ZUF86h,sábado,14:59:35.497000,"15:04:49,634","15:05:19,784","15:05:26,770",Tarjeta,
