,id,copas,gofres,bebidas,crepes,diaSemana,observacion,helados
173,KBS1AiPghMdAMJUc66La,[],"[{'inicio': '13:48:24,585', 'fin': '13:56:34,195'}]",[],[],viernes,,"[{'inicio': '13:49:02,080', 'fin': '13:49:44,305'}]"
174,KZCCLar8za9FEiztxBU4,"[{'inicio': '15:01:28,610', 'fin': '15:01:59,974'}]",[],[],[],domingo,,[]
175,KsX1rKWiGHK1cqvKJ9mi,[],[],[],[],viernes,,"[{'inicio': '13:18:01,643', 'fin': '13:18:19,507'}]"
176,L37Bt0cvbOWvpIvyj2XS,"[{'inicio': '13:31:19,847', 'fin': '13:34:06,784'}]",[],[],[],domingo,,"[{'inicio': '13:34:15,049', 'fin': '13:34:29,038'}, {'inicio': '13:34:30,064', 'fin': '13:34:58,859'}]"
177,LC2pfyqIkFwdRgsumVJt,[],"[{'inicio': '14:28:11,470', 'fin': '14:33:54,010'}]",[],[],domingo,,[]
178,LGWg7vApdda6iO7yOMYQ,[],[],[],[],sábado,,"[{'inicio': '12:31:34,236', 'fin': '12:32:56,117'}]"
179,LQifOdsYpZnrt1Nu762V,[],[],[],[],viernes,,"[{'inicio': '13:14:35,549', 'fin': '13:15:08,027'}]"
180,LVHvmOKZGbnFuFI29ZSf,"[{'inicio': '14:07:50,496', 'fin': '14:10:16,218'}]",[],[],[],domingo,Dos pighued +  dos copas ,"[{'inicio': '14:06:57,017', 'fin': '14:07:45,748'}]"
181,LdbNr4k4JB6cmSYpNX3j,[],[],[],[],domingo,,"[{'inicio': '14:47:27,933', 'fin': '14:47:36,087'}, {'inicio': '14:47:38,296', 'fin': '14:47:44,616'}]"
182,Lf6yFmEscPTCX49Akka8,[],[],[],[],domingo,,"[{'inicio': '12:44:25,389', 'fin': '12:44:56,880'}, {'inicio': '12:44:57,502', 'fin': '12:45:25,132'}]"
183,LqLZy5OsoRzM3smGKcme,[],[],[],[],viernes,,"[{'inicio': '13:33:57,365', 'fin': '13:34:13,227'}]"
